PersonID,EAR,BlinkCount,MAR,YawnCount,EyeClosedSeconds,HeadDirection,Emotion,Timestamp
p5,0.113,14,0.012,1,0.3,Down,TIRED,10:17:53
p5,0.39,16,0.371,1,0,Down,NEUTRAL,10:17:55
p5,0.38,16,1.081,1,0,Down,SURPRISED,10:17:57
p5,0.397,16,0.008,2,0,Down,NEUTRAL,10:17:59
p5,0.222,20,0.043,3,0,Down,NEUTRAL,10:18:01
p5,0.193,22,0.003,3,0.22,Down,ANGRY,10:18:03
p5,0.115,25,0.006,3,0.08,Down,TIRED,10:18:05
p5,0.256,30,0.008,3,0,Down,NEUTRAL,10:18:07
p5,0.395,36,0.002,3,0,Down,NEUTRAL,10:18:09
p5,0.459,40,0.508,3,0,Down,HAPPY,10:18:11
p5,0.377,42,0.002,7,0,Down,NEUTRAL,10:18:13
p5,0.36,42,0.016,7,0,Down,NEUTRAL,10:18:15
p5,0.308,43,0.064,7,0,Down,NEUTRAL,10:18:17
p5,0.307,44,0.13,7,0,Down,NEUTRAL,10:18:19
pp6,0.304,0,0.013,0,0,Up,NEUTRAL,10:19:17
pp6,0.355,0,0.003,0,0,Down,NEUTRAL,10:19:19
pp6,0.407,0,0.002,0,0,Down,NEUTRAL,10:19:21
pp6,0.33,0,0.009,0,0,Down,NEUTRAL,10:19:23
pp6,0.417,1,0.015,0,0,Down,NEUTRAL,10:19:25
pp6,0.294,1,0.009,0,0,Down,NEUTRAL,10:19:27
pp6,0.396,1,0.172,0,0,Down,NEUTRAL,10:19:30
pp6,0.387,1,0.002,0,0,Down,NEUTRAL,10:19:32
pp6,0.356,1,0.272,0,0,Down,NEUTRAL,10:19:34
pp6,0.383,1,0.003,0,0,Down,NEUTRAL,10:19:36
pp6,0.382,2,0.119,0,0,Down,NEUTRAL,10:19:38
pp6,0.36,2,0.265,0,0,Down,NEUTRAL,10:19:40
pp6,0.248,2,0.238,0,0,Down,NEUTRAL,10:19:42
pp6,0.351,4,0.005,0,0,Down,NEUTRAL,10:19:44
pp6,0.457,4,0.08,0,0,Down,NEUTRAL,10:19:46
pp6,0.387,4,0.007,0,0,Down,NEUTRAL,10:19:48
pp6,0.609,4,0.019,0,0,Left,NEUTRAL,10:19:50
pp6,0.262,4,0.007,0,0,Down,NEUTRAL,10:19:52
pp6,0.397,5,0.008,0,0,Down,NEUTRAL,10:19:54
pp6,0.42,5,0.008,0,0,Down,NEUTRAL,10:19:56
pp6,0.119,6,0.006,0,1.29,Down,TIRED,10:19:58
pp6,0.345,7,0.578,1,0,Down,YAWNING,10:20:00
pp6,0.383,7,0.008,1,0,Down,NEUTRAL,10:20:02
pp6,0.352,7,0.13,1,0,Down,NEUTRAL,10:20:04
p7,0.394,0,0.007,0,0,Down,NEUTRAL,10:21:07
p7,0.417,0,0.391,0,0,Down,NEUTRAL,10:21:09
p7,0.387,0,0.002,0,0,Down,NEUTRAL,10:21:11
p7,0.328,2,0.029,0,0,Down,NEUTRAL,10:21:13
p7,0.401,3,0.004,0,0,Down,NEUTRAL,10:21:15
p7,0.08,3,0.003,0,0.43,Down,TIRED,10:21:17
p7,0.106,3,0.004,0,2.43,Down,TIRED,10:21:19
p7,0.403,5,0.004,0,0,Down,NEUTRAL,10:21:21
p7,0.301,5,0.014,0,0,Left,NEUTRAL,10:21:23
p7,0.482,6,0.019,0,0,Right,NEUTRAL,10:21:25
p7,0.389,6,0.002,0,0,Down,NEUTRAL,10:21:27
p7,0.43,6,0.817,0,0,Down,SURPRISED,10:21:29
p7,0.399,7,0.002,1,0,Down,NEUTRAL,10:21:31
p7,0.401,8,0.002,1,0,Down,NEUTRAL,10:21:33
p7,0.411,8,0.003,1,0,Down,NEUTRAL,10:21:35
p7,0.41,10,0.002,1,0,Down,NEUTRAL,10:21:37
p7,0.399,11,0.008,1,0,Down,NEUTRAL,10:21:39
p8,0.378,0,0.003,0,0,Down,NEUTRAL,10:23:10
p8,0.402,0,0.004,0,0,Down,NEUTRAL,10:23:12
p8,0.428,0,0.009,0,0,Up,NEUTRAL,10:23:14
p8,0.346,0,0.013,0,0,Up,NEUTRAL,10:23:16
p8,0.388,0,0.178,0,0,Right,NEUTRAL,10:23:18
p8,0.412,0,0.006,0,0,Up,NEUTRAL,10:23:20
p8,0.358,0,0.006,0,0,Up,NEUTRAL,10:23:22
p8,0.345,0,0.004,0,0,Up,NEUTRAL,10:23:24
p8,0.421,1,0.008,0,0,Up,NEUTRAL,10:23:26
p8,0.398,1,0.015,0,0,Up,NEUTRAL,10:23:28
p8,0.301,1,0.009,0,0,Up,NEUTRAL,10:23:31
p8,0.384,1,0.004,0,0,Up,NEUTRAL,10:23:33
p8,0.363,2,0.001,0,0,Up,NEUTRAL,10:23:35
